PSTAR: Stopping Powers and Range Tables for Protons

CARBON (amorphous, density 2.0 g/cm3)                                   

Kinetic   Total     Projected 
Energy    Stp. Pow. Range     
MeV       MeV cm2/g g/cm2     

1.000E-03 1.635E+02 3.084E-06 
1.500E-03 1.905E+02 4.658E-06 
2.000E-03 2.140E+02 6.204E-06 
2.500E-03 2.351E+02 7.703E-06 
3.000E-03 2.544E+02 9.151E-06 
4.000E-03 2.826E+02 1.194E-05 
5.000E-03 3.086E+02 1.462E-05 
6.000E-03 3.323E+02 1.718E-05 
7.000E-03 3.541E+02 1.963E-05 
8.000E-03 3.730E+02 2.199E-05 
9.000E-03 3.899E+02 2.428E-05 
1.000E-02 4.055E+02 2.651E-05 
1.250E-02 4.393E+02 3.183E-05 
1.500E-02 4.675E+02 3.689E-05 
1.750E-02 4.920E+02 4.173E-05 
2.000E-02 5.140E+02 4.639E-05 
2.250E-02 5.337E+02 5.090E-05 
2.500E-02 5.512E+02 5.528E-05 
2.750E-02 5.667E+02 5.956E-05 
3.000E-02 5.806E+02 6.374E-05 
3.500E-02 6.065E+02 7.186E-05 
4.000E-02 6.307E+02 7.969E-05 
4.500E-02 6.523E+02 8.726E-05 
5.000E-02 6.706E+02 9.464E-05 
5.500E-02 6.854E+02 1.018E-04 
6.000E-02 6.971E+02 1.089E-04 
6.500E-02 7.062E+02 1.159E-04 
7.000E-02 7.130E+02 1.229E-04 
7.500E-02 7.178E+02 1.297E-04 
8.000E-02 7.208E+02 1.366E-04 
8.500E-02 7.222E+02 1.434E-04 
9.000E-02 7.221E+02 1.502E-04 
9.500E-02 7.209E+02 1.571E-04 
1.000E-01 7.186E+02 1.640E-04 
1.250E-01 6.954E+02 1.989E-04 
1.500E-01 6.619E+02 2.354E-04 
1.750E-01 6.254E+02 2.740E-04 
2.000E-01 5.898E+02 3.149E-04 
2.250E-01 5.566E+02 3.583E-04 
2.500E-01 5.265E+02 4.042E-04 
2.750E-01 4.996E+02 4.527E-04 
3.000E-01 4.754E+02 5.038E-04 
3.500E-01 4.362E+02 6.133E-04 
4.000E-01 4.048E+02 7.319E-04 
4.500E-01 3.782E+02 8.593E-04 
5.000E-01 3.549E+02 9.953E-04 
