PSTAR: Stopping Powers and Range Tables for Protons

TITANIUM                                                                

Kinetic   Total     Projected 
Energy    Stp. Pow. Range     
MeV       MeV cm2/g g/cm2     

1.000E-03 6.708E+01 4.702E-06 
1.500E-03 8.038E+01 6.906E-06 
2.000E-03 9.157E+01 9.107E-06 
2.500E-03 1.014E+02 1.128E-05 
3.000E-03 1.103E+02 1.344E-05 
4.000E-03 1.262E+02 1.767E-05 
5.000E-03 1.402E+02 2.180E-05 
6.000E-03 1.529E+02 2.582E-05 
7.000E-03 1.646E+02 2.975E-05 
8.000E-03 1.755E+02 3.357E-05 
9.000E-03 1.858E+02 3.731E-05 
1.000E-02 1.955E+02 4.096E-05 
1.250E-02 2.150E+02 4.979E-05 
1.500E-02 2.320E+02 5.830E-05 
1.750E-02 2.473E+02 6.651E-05 
2.000E-02 2.611E+02 7.446E-05 
2.250E-02 2.737E+02 8.217E-05 
2.500E-02 2.853E+02 8.969E-05 
2.750E-02 2.959E+02 9.702E-05 
3.000E-02 3.057E+02 1.042E-04 
3.500E-02 3.230E+02 1.181E-04 
4.000E-02 3.378E+02 1.316E-04 
4.500E-02 3.503E+02 1.447E-04 
5.000E-02 3.609E+02 1.575E-04 
5.500E-02 3.698E+02 1.700E-04 
6.000E-02 3.770E+02 1.824E-04 
6.500E-02 3.829E+02 1.947E-04 
7.000E-02 3.875E+02 2.068E-04 
7.500E-02 3.910E+02 2.189E-04 
8.000E-02 3.935E+02 2.309E-04 
8.500E-02 3.951E+02 2.429E-04 
9.000E-02 3.959E+02 2.548E-04 
9.500E-02 3.960E+02 2.669E-04 
1.000E-01 3.955E+02 2.789E-04 
1.250E-01 3.860E+02 3.401E-04 
1.500E-01 3.698E+02 4.039E-04 
1.750E-01 3.514E+02 4.711E-04 
2.000E-01 3.330E+02 5.422E-04 
2.250E-01 3.158E+02 6.174E-04 
2.500E-01 3.000E+02 6.968E-04 
2.750E-01 2.858E+02 7.803E-04 
3.000E-01 2.731E+02 8.680E-04 
3.500E-01 2.516E+02 1.055E-03 
4.000E-01 2.342E+02 1.258E-03 
4.500E-01 2.198E+02 1.475E-03 
5.000E-01 2.078E+02 1.705E-03 
