PSTAR: Stopping Powers and Range Tables for Protons

URANIUM                                                                 

Kinetic   Total     Projected 
Energy    Stp. Pow. Range     
MeV       MeV cm2/g g/cm2     

1.000E-03 1.905E+01 1.052E-05 
1.500E-03 2.320E+01 1.476E-05 
2.000E-03 2.669E+01 1.890E-05 
2.500E-03 2.976E+01 2.294E-05 
3.000E-03 3.253E+01 2.691E-05 
4.000E-03 3.745E+01 3.470E-05 
5.000E-03 4.177E+01 4.234E-05 
6.000E-03 4.568E+01 4.985E-05 
7.000E-03 4.928E+01 5.726E-05 
8.000E-03 5.262E+01 6.458E-05 
9.000E-03 5.576E+01 7.182E-05 
1.000E-02 5.873E+01 7.899E-05 
1.250E-02 6.479E+01 9.672E-05 
1.500E-02 7.014E+01 1.142E-04 
1.750E-02 7.499E+01 1.316E-04 
2.000E-02 7.942E+01 1.487E-04 
2.250E-02 8.352E+01 1.656E-04 
2.500E-02 8.733E+01 1.823E-04 
2.750E-02 9.089E+01 1.988E-04 
3.000E-02 9.423E+01 2.152E-04 
3.500E-02 1.003E+02 2.475E-04 
4.000E-02 1.058E+02 2.792E-04 
4.500E-02 1.107E+02 3.104E-04 
5.000E-02 1.151E+02 3.411E-04 
5.500E-02 1.191E+02 3.715E-04 
6.000E-02 1.227E+02 4.016E-04 
6.500E-02 1.260E+02 4.313E-04 
7.000E-02 1.289E+02 4.608E-04 
7.500E-02 1.315E+02 4.901E-04 
8.000E-02 1.338E+02 5.192E-04 
8.500E-02 1.359E+02 5.481E-04 
9.000E-02 1.377E+02 5.770E-04 
9.500E-02 1.393E+02 6.057E-04 
1.000E-01 1.406E+02 6.345E-04 
1.250E-01 1.446E+02 7.780E-04 
1.500E-01 1.450E+02 9.233E-04 
1.750E-01 1.429E+02 1.072E-03 
2.000E-01 1.393E+02 1.227E-03 
2.250E-01 1.347E+02 1.388E-03 
2.500E-01 1.297E+02 1.556E-03 
2.750E-01 1.243E+02 1.732E-03 
3.000E-01 1.189E+02 1.917E-03 
3.500E-01 1.088E+02 2.316E-03 
4.000E-01 1.001E+02 2.753E-03 
4.500E-01 9.288E+01 3.228E-03 
5.000E-01 8.681E+01 3.740E-03 
