PSTAR: Stopping Powers and Range Tables for Protons

ALUMINUM                                                                

Kinetic   Total     CSDA      
Energy    Stp. Pow. Range     
MeV       MeV cm2/g g/cm2     

1.000E-03 1.043E+02 1.471E-05 
1.500E-03 1.239E+02 1.906E-05 
2.000E-03 1.404E+02 2.285E-05 
2.500E-03 1.550E+02 2.623E-05 
3.000E-03 1.683E+02 2.933E-05 
4.000E-03 1.921E+02 3.487E-05 
5.000E-03 2.131E+02 3.981E-05 
6.000E-03 2.323E+02 4.430E-05 
7.000E-03 2.499E+02 4.845E-05 
8.000E-03 2.664E+02 5.232E-05 
9.000E-03 2.819E+02 5.597E-05 
1.000E-02 2.966E+02 5.943E-05 
1.250E-02 3.245E+02 6.746E-05 
1.500E-02 3.483E+02 7.489E-05 
1.750E-02 3.689E+02 8.186E-05 
2.000E-02 3.867E+02 8.848E-05 
2.250E-02 4.022E+02 9.481E-05 
2.500E-02 4.157E+02 1.009E-04 
2.750E-02 4.273E+02 1.069E-04 
3.000E-02 4.373E+02 1.126E-04 
3.500E-02 4.529E+02 1.239E-04 
4.000E-02 4.638E+02 1.348E-04 
4.500E-02 4.709E+02 1.455E-04 
5.000E-02 4.749E+02 1.560E-04 
5.500E-02 4.766E+02 1.665E-04 
6.000E-02 4.764E+02 1.770E-04 
6.500E-02 4.749E+02 1.875E-04 
7.000E-02 4.724E+02 1.981E-04 
7.500E-02 4.691E+02 2.087E-04 
8.000E-02 4.653E+02 2.194E-04 
8.500E-02 4.611E+02 2.302E-04 
9.000E-02 4.567E+02 2.411E-04 
9.500E-02 4.522E+02 2.521E-04 
1.000E-01 4.477E+02 2.632E-04 
1.250E-01 4.253E+02 3.205E-04 
1.500E-01 4.051E+02 3.808E-04 
1.750E-01 3.873E+02 4.439E-04 
2.000E-01 3.715E+02 5.098E-04 
2.250E-01 3.573E+02 5.785E-04 
2.500E-01 3.444E+02 6.498E-04 
2.750E-01 3.327E+02 7.236E-04 
3.000E-01 3.218E+02 8.001E-04 
3.500E-01 3.020E+02 9.605E-04 
4.000E-01 2.844E+02 1.131E-03 
4.500E-01 2.689E+02 1.312E-03 
5.000E-01 2.550E+02 1.503E-03 
