PSTAR: Stopping Powers and Range Tables for Protons

IRON                                                                    

Kinetic   Total     CSDA      
Energy    Stp. Pow. Range     
MeV       MeV cm2/g g/cm2     

1.000E-03 4.304E+01 3.706E-05 
1.500E-03 5.129E+01 4.758E-05 
2.000E-03 5.820E+01 5.672E-05 
2.500E-03 6.429E+01 6.489E-05 
3.000E-03 6.979E+01 7.234E-05 
4.000E-03 7.957E+01 8.573E-05 
5.000E-03 8.821E+01 9.765E-05 
6.000E-03 9.604E+01 1.085E-04 
7.000E-03 1.033E+02 1.185E-04 
8.000E-03 1.100E+02 1.279E-04 
9.000E-03 1.163E+02 1.368E-04 
1.000E-02 1.223E+02 1.451E-04 
1.250E-02 1.345E+02 1.646E-04 
1.500E-02 1.453E+02 1.825E-04 
1.750E-02 1.550E+02 1.991E-04 
2.000E-02 1.640E+02 2.148E-04 
2.250E-02 1.722E+02 2.297E-04 
2.500E-02 1.799E+02 2.439E-04 
2.750E-02 1.870E+02 2.575E-04 
3.000E-02 1.937E+02 2.706E-04 
3.500E-02 2.060E+02 2.956E-04 
4.000E-02 2.169E+02 3.193E-04 
4.500E-02 2.266E+02 3.418E-04 
5.000E-02 2.353E+02 3.635E-04 
5.500E-02 2.431E+02 3.844E-04 
6.000E-02 2.502E+02 4.046E-04 
6.500E-02 2.565E+02 4.244E-04 
7.000E-02 2.621E+02 4.436E-04 
7.500E-02 2.671E+02 4.625E-04 
8.000E-02 2.715E+02 4.811E-04 
8.500E-02 2.754E+02 4.994E-04 
9.000E-02 2.788E+02 5.174E-04 
9.500E-02 2.817E+02 5.353E-04 
1.000E-01 2.842E+02 5.529E-04 
1.250E-01 2.915E+02 6.396E-04 
1.500E-01 2.920E+02 7.251E-04 
1.750E-01 2.880E+02 8.113E-04 
2.000E-01 2.813E+02 8.990E-04 
2.250E-01 2.732E+02 9.892E-04 
2.500E-01 2.643E+02 1.082E-03 
2.750E-01 2.552E+02 1.178E-03 
3.000E-01 2.463E+02 1.278E-03 
3.500E-01 2.297E+02 1.488E-03 
4.000E-01 2.150E+02 1.714E-03 
4.500E-01 2.023E+02 1.953E-03 
5.000E-01 1.913E+02 2.208E-03 
