PSTAR: Stopping Powers and Range Tables for Protons

GLASS, BOROSILICATE (Pyrex, Corning 7740)                               

Kinetic   Total     CSDA      
Energy    Stp. Pow. Range     
MeV       MeV cm2/g g/cm2     

1.000E-03 1.056E+02 1.337E-05 
1.500E-03 1.233E+02 1.771E-05 
2.000E-03 1.385E+02 2.153E-05 
2.500E-03 1.521E+02 2.497E-05 
3.000E-03 1.645E+02 2.813E-05 
4.000E-03 1.868E+02 3.382E-05 
5.000E-03 2.067E+02 3.891E-05 
6.000E-03 2.249E+02 4.354E-05 
7.000E-03 2.416E+02 4.783E-05 
8.000E-03 2.573E+02 5.184E-05 
9.000E-03 2.721E+02 5.561E-05 
1.000E-02 2.861E+02 5.920E-05 
1.250E-02 3.137E+02 6.752E-05 
1.500E-02 3.378E+02 7.520E-05 
1.750E-02 3.593E+02 8.237E-05 
2.000E-02 3.787E+02 8.914E-05 
2.250E-02 3.962E+02 9.559E-05 
2.500E-02 4.121E+02 1.018E-04 
2.750E-02 4.266E+02 1.077E-04 
3.000E-02 4.399E+02 1.135E-04 
3.500E-02 4.631E+02 1.246E-04 
4.000E-02 4.825E+02 1.351E-04 
4.500E-02 4.986E+02 1.453E-04 
5.000E-02 5.120E+02 1.552E-04 
5.500E-02 5.229E+02 1.649E-04 
6.000E-02 5.316E+02 1.744E-04 
6.500E-02 5.386E+02 1.837E-04 
7.000E-02 5.438E+02 1.929E-04 
7.500E-02 5.477E+02 2.021E-04 
8.000E-02 5.503E+02 2.112E-04 
8.500E-02 5.518E+02 2.203E-04 
9.000E-02 5.523E+02 2.293E-04 
9.500E-02 5.521E+02 2.384E-04 
1.000E-01 5.511E+02 2.475E-04 
1.250E-01 5.385E+02 2.933E-04 
1.500E-01 5.188E+02 3.405E-04 
1.750E-01 4.967E+02 3.898E-04 
2.000E-01 4.745E+02 4.413E-04 
2.250E-01 4.517E+02 4.953E-04 
2.500E-01 4.297E+02 5.520E-04 
2.750E-01 4.092E+02 6.116E-04 
3.000E-01 3.905E+02 6.742E-04 
3.500E-01 3.583E+02 8.080E-04 
4.000E-01 3.319E+02 9.532E-04 
4.500E-01 3.101E+02 1.109E-03 
5.000E-01 2.919E+02 1.275E-03 
