PSTAR: Stopping Powers and Range Tables for Protons

LITHIUM FLUORIDE                                                        

Kinetic   Total     CSDA      
Energy    Stp. Pow. Range     
MeV       MeV cm2/g g/cm2     

1.000E-03 1.008E+02 1.271E-05 
1.500E-03 1.157E+02 1.730E-05 
2.000E-03 1.289E+02 2.139E-05 
2.500E-03 1.408E+02 2.510E-05 
3.000E-03 1.518E+02 2.852E-05 
4.000E-03 1.717E+02 3.470E-05 
5.000E-03 1.895E+02 4.024E-05 
6.000E-03 2.058E+02 4.530E-05 
7.000E-03 2.210E+02 4.999E-05 
8.000E-03 2.352E+02 5.437E-05 
9.000E-03 2.485E+02 5.851E-05 
1.000E-02 2.613E+02 6.243E-05 
1.250E-02 2.866E+02 7.154E-05 
1.500E-02 3.090E+02 7.994E-05 
1.750E-02 3.291E+02 8.777E-05 
2.000E-02 3.474E+02 9.516E-05 
2.250E-02 3.640E+02 1.022E-04 
2.500E-02 3.793E+02 1.089E-04 
2.750E-02 3.934E+02 1.154E-04 
3.000E-02 4.065E+02 1.216E-04 
3.500E-02 4.298E+02 1.336E-04 
4.000E-02 4.498E+02 1.450E-04 
4.500E-02 4.671E+02 1.559E-04 
5.000E-02 4.820E+02 1.664E-04 
5.500E-02 4.947E+02 1.766E-04 
6.000E-02 5.055E+02 1.866E-04 
6.500E-02 5.147E+02 1.964E-04 
7.000E-02 5.223E+02 2.061E-04 
7.500E-02 5.286E+02 2.156E-04 
8.000E-02 5.337E+02 2.250E-04 
8.500E-02 5.376E+02 2.343E-04 
9.000E-02 5.406E+02 2.436E-04 
9.500E-02 5.427E+02 2.528E-04 
1.000E-01 5.440E+02 2.620E-04 
1.250E-01 5.411E+02 3.080E-04 
1.500E-01 5.281E+02 3.547E-04 
1.750E-01 5.098E+02 4.029E-04 
2.000E-01 4.893E+02 4.529E-04 
2.250E-01 4.679E+02 5.052E-04 
2.500E-01 4.469E+02 5.598E-04 
2.750E-01 4.273E+02 6.171E-04 
3.000E-01 4.091E+02 6.769E-04 
3.500E-01 3.773E+02 8.043E-04 
4.000E-01 3.507E+02 9.418E-04 
4.500E-01 3.283E+02 1.089E-03 
5.000E-01 3.093E+02 1.246E-03 
