PSTAR: Stopping Powers and Range Tables for Protons

MUSCLE, SKELETAL (ICRP)                                                 

Kinetic   Total     CSDA      
Energy    Stp. Pow. Range     
MeV       MeV cm2/g g/cm2     

1.000E-03 1.827E+02 6.269E-06 
1.500E-03 2.063E+02 8.825E-06 
2.000E-03 2.281E+02 1.113E-05 
2.500E-03 2.481E+02 1.323E-05 
3.000E-03 2.668E+02 1.517E-05 
4.000E-03 3.008E+02 1.870E-05 
5.000E-03 3.315E+02 2.186E-05 
6.000E-03 3.598E+02 2.475E-05 
7.000E-03 3.860E+02 2.743E-05 
8.000E-03 4.105E+02 2.994E-05 
9.000E-03 4.337E+02 3.231E-05 
1.000E-02 4.557E+02 3.456E-05 
1.250E-02 4.993E+02 3.979E-05 
1.500E-02 5.374E+02 4.461E-05 
1.750E-02 5.714E+02 4.912E-05 
2.000E-02 6.019E+02 5.338E-05 
2.250E-02 6.295E+02 5.744E-05 
2.500E-02 6.545E+02 6.134E-05 
2.750E-02 6.773E+02 6.509E-05 
3.000E-02 6.980E+02 6.872E-05 
3.500E-02 7.341E+02 7.570E-05 
4.000E-02 7.639E+02 8.237E-05 
4.500E-02 7.884E+02 8.881E-05 
5.000E-02 8.081E+02 9.508E-05 
5.500E-02 8.236E+02 1.012E-04 
6.000E-02 8.355E+02 1.072E-04 
6.500E-02 8.442E+02 1.132E-04 
7.000E-02 8.500E+02 1.191E-04 
7.500E-02 8.534E+02 1.249E-04 
8.000E-02 8.545E+02 1.308E-04 
8.500E-02 8.538E+02 1.367E-04 
9.000E-02 8.515E+02 1.425E-04 
9.500E-02 8.477E+02 1.484E-04 
1.000E-01 8.428E+02 1.543E-04 
1.250E-01 8.061E+02 1.846E-04 
1.500E-01 7.600E+02 2.165E-04 
1.750E-01 7.132E+02 2.505E-04 
2.000E-01 6.694E+02 2.867E-04 
2.250E-01 6.319E+02 3.251E-04 
2.500E-01 5.998E+02 3.658E-04 
2.750E-01 5.715E+02 4.085E-04 
3.000E-01 5.462E+02 4.532E-04 
3.500E-01 5.027E+02 5.488E-04 
4.000E-01 4.663E+02 6.521E-04 
4.500E-01 4.351E+02 7.632E-04 
5.000E-01 4.079E+02 8.819E-04 
5.500E-01 3.841E+02 1.008E-03 
6.000E-01 3.632E+02 1.142E-03 
6.500E-01 3.447E+02 1.284E-03 
7.000E-01 3.282E+02 1.432E-03 
7.500E-01 3.134E+02 1.588E-03 
8.000E-01 3.000E+02 1.751E-03 
8.500E-01 2.880E+02 1.922E-03 
9.000E-01 2.770E+02 2.099E-03 
9.500E-01 2.668E+02 2.283E-03 
1.000E+00 2.575E+02 2.473E-03 
1.250E+00 2.202E+02 3.527E-03 
1.500E+00 1.934E+02 4.742E-03 
1.750E+00 1.729E+02 6.111E-03 
2.000E+00 1.568E+02 7.632E-03 
2.250E+00 1.437E+02 9.299E-03 
2.500E+00 1.329E+02 1.111E-02 
2.750E+00 1.237E+02 1.306E-02 
3.000E+00 1.159E+02 1.515E-02 
3.500E+00 1.030E+02 1.974E-02 
4.000E+00 9.301E+01 2.485E-02 
4.500E+00 8.491E+01 3.048E-02 
5.000E+00 7.824E+01 3.662E-02 
5.500E+00 7.262E+01 4.326E-02 
6.000E+00 6.783E+01 5.039E-02 
6.500E+00 6.368E+01 5.800E-02 
7.000E+00 6.005E+01 6.609E-02 
7.500E+00 5.684E+01 7.466E-02 
8.000E+00 5.400E+01 8.368E-02 
8.500E+00 5.145E+01 9.317E-02 
9.000E+00 4.915E+01 1.031E-01 
9.500E+00 4.707E+01 1.135E-01 
1.000E+01 4.517E+01 1.244E-01 
1.250E+01 3.774E+01 1.852E-01 
1.500E+01 3.256E+01 2.567E-01 
1.750E+01 2.874E+01 3.387E-01 
2.000E+01 2.578E+01 4.307E-01 
2.500E+01 2.151E+01 6.440E-01 
2.750E+01 1.991E+01 7.649E-01 
3.000E+01 1.856E+01 8.950E-01 
3.500E+01 1.638E+01 1.182E+00 
4.000E+01 1.472E+01 1.505E+00 
4.500E+01 1.339E+01 1.862E+00 
5.000E+01 1.231E+01 2.251E+00 
5.500E+01 1.142E+01 2.674E+00 
6.000E+01 1.066E+01 3.127E+00 
6.500E+01 1.002E+01 3.611E+00 
7.000E+01 9.456E+00 4.125E+00 
7.500E+01 8.965E+00 4.668E+00 
8.000E+01 8.532E+00 5.240E+00 
8.500E+01 8.147E+00 5.840E+00 
9.000E+01 7.802E+00 6.468E+00 
9.500E+01 7.492E+00 7.122E+00 
1.000E+02 7.210E+00 7.802E+00 
1.250E+02 6.125E+00 1.158E+01 
1.500E+02 5.386E+00 1.595E+01 
1.750E+02 4.850E+00 2.085E+01 
2.000E+02 4.444E+00 2.624E+01 
2.250E+02 4.125E+00 3.209E+01 
2.500E+02 3.869E+00 3.835E+01 
2.750E+02 3.658E+00 4.500E+01 
3.000E+02 3.483E+00 5.201E+01 
3.500E+02 3.206E+00 6.700E+01 
4.000E+02 3.000E+00 8.315E+01 
4.500E+02 2.840E+00 1.003E+02 
5.000E+02 2.714E+00 1.183E+02 
5.500E+02 2.612E+00 1.371E+02 
6.000E+02 2.528E+00 1.566E+02 
6.500E+02 2.459E+00 1.766E+02 
7.000E+02 2.400E+00 1.972E+02 
7.500E+02 2.350E+00 2.183E+02 
8.000E+02 2.308E+00 2.398E+02 
8.500E+02 2.272E+00 2.616E+02 
9.000E+02 2.240E+00 2.838E+02 
9.500E+02 2.212E+00 3.062E+02 
1.000E+03 2.187E+00 3.290E+02 
1.500E+03 2.046E+00 5.667E+02 
2.000E+03 1.997E+00 8.146E+02 
2.500E+03 1.980E+00 1.066E+03 
3.000E+03 1.977E+00 1.319E+03 
4.000E+03 1.988E+00 1.824E+03 
5.000E+03 2.007E+00 2.324E+03 
6.000E+03 2.028E+00 2.820E+03 
7.000E+03 2.048E+00 3.311E+03 
8.000E+03 2.067E+00 3.797E+03 
9.000E+03 2.085E+00 4.278E+03 
1.000E+04 2.102E+00 4.756E+03 
