PSTAR: Stopping Powers and Range Tables for Protons

POLYCARBONATE (MAKROLON, LEXAN)                                         

Kinetic   Total     CSDA      
Energy    Stp. Pow. Range     
MeV       MeV cm2/g g/cm2     

1.000E-03 2.001E+02 6.229E-06 
1.500E-03 2.306E+02 8.537E-06 
2.000E-03 2.576E+02 1.059E-05 
2.500E-03 2.821E+02 1.244E-05 
3.000E-03 3.047E+02 1.414E-05 
4.000E-03 3.407E+02 1.724E-05 
5.000E-03 3.735E+02 2.004E-05 
6.000E-03 4.036E+02 2.261E-05 
7.000E-03 4.314E+02 2.501E-05 
8.000E-03 4.562E+02 2.726E-05 
9.000E-03 4.790E+02 2.940E-05 
1.000E-02 5.002E+02 3.144E-05 
1.250E-02 5.438E+02 3.623E-05 
1.500E-02 5.807E+02 4.067E-05 
1.750E-02 6.127E+02 4.486E-05 
2.000E-02 6.414E+02 4.885E-05 
2.250E-02 6.668E+02 5.267E-05 
2.500E-02 6.894E+02 5.635E-05 
2.750E-02 7.094E+02 5.993E-05 
3.000E-02 7.274E+02 6.341E-05 
3.500E-02 7.592E+02 7.013E-05 
4.000E-02 7.869E+02 7.660E-05 
4.500E-02 8.104E+02 8.285E-05 
5.000E-02 8.294E+02 8.895E-05 
5.500E-02 8.440E+02 9.492E-05 
6.000E-02 8.550E+02 1.008E-04 
6.500E-02 8.628E+02 1.066E-04 
7.000E-02 8.679E+02 1.124E-04 
7.500E-02 8.706E+02 1.182E-04 
8.000E-02 8.713E+02 1.239E-04 
8.500E-02 8.702E+02 1.296E-04 
9.000E-02 8.675E+02 1.354E-04 
9.500E-02 8.636E+02 1.412E-04 
1.000E-01 8.585E+02 1.470E-04 
1.250E-01 8.216E+02 1.767E-04 
1.500E-01 7.755E+02 2.080E-04 
1.750E-01 7.281E+02 2.413E-04 
2.000E-01 6.830E+02 2.767E-04 
2.250E-01 6.418E+02 3.145E-04 
2.500E-01 6.048E+02 3.546E-04 
2.750E-01 5.718E+02 3.972E-04 
3.000E-01 5.425E+02 4.421E-04 
3.500E-01 4.928E+02 5.389E-04 
4.000E-01 4.525E+02 6.449E-04 
4.500E-01 4.195E+02 7.598E-04 
5.000E-01 3.922E+02 8.832E-04 
5.500E-01 3.690E+02 1.015E-03 
6.000E-01 3.487E+02 1.154E-03 
6.500E-01 3.310E+02 1.301E-03 
7.000E-01 3.152E+02 1.456E-03 
7.500E-01 3.011E+02 1.619E-03 
8.000E-01 2.884E+02 1.788E-03 
8.500E-01 2.769E+02 1.965E-03 
9.000E-01 2.663E+02 2.150E-03 
9.500E-01 2.567E+02 2.341E-03 
1.000E+00 2.478E+02 2.539E-03 
1.250E+00 2.121E+02 3.634E-03 
1.500E+00 1.865E+02 4.894E-03 
1.750E+00 1.669E+02 6.313E-03 
2.000E+00 1.514E+02 7.888E-03 
2.250E+00 1.388E+02 9.614E-03 
2.500E+00 1.284E+02 1.149E-02 
2.750E+00 1.196E+02 1.351E-02 
3.000E+00 1.120E+02 1.567E-02 
3.500E+00 9.962E+01 2.041E-02 
4.000E+00 8.990E+01 2.570E-02 
4.500E+00 8.207E+01 3.153E-02 
5.000E+00 7.560E+01 3.788E-02 
5.500E+00 7.016E+01 4.476E-02 
6.000E+00 6.552E+01 5.214E-02 
6.500E+00 6.150E+01 6.002E-02 
7.000E+00 5.799E+01 6.839E-02 
7.500E+00 5.489E+01 7.726E-02 
8.000E+00 5.213E+01 8.661E-02 
8.500E+00 4.967E+01 9.644E-02 
9.000E+00 4.745E+01 1.067E-01 
9.500E+00 4.543E+01 1.175E-01 
1.000E+01 4.360E+01 1.287E-01 
1.250E+01 3.641E+01 1.918E-01 
1.500E+01 3.141E+01 2.659E-01 
1.750E+01 2.771E+01 3.509E-01 
2.000E+01 2.486E+01 4.463E-01 
2.500E+01 2.073E+01 6.676E-01 
2.750E+01 1.919E+01 7.930E-01 
3.000E+01 1.788E+01 9.281E-01 
3.500E+01 1.579E+01 1.226E+00 
4.000E+01 1.418E+01 1.561E+00 
4.500E+01 1.290E+01 1.931E+00 
5.000E+01 1.186E+01 2.336E+00 
5.500E+01 1.100E+01 2.774E+00 
6.000E+01 1.027E+01 3.245E+00 
6.500E+01 9.647E+00 3.747E+00 
7.000E+01 9.107E+00 4.281E+00 
7.500E+01 8.634E+00 4.845E+00 
8.000E+01 8.217E+00 5.439E+00 
8.500E+01 7.846E+00 6.062E+00 
9.000E+01 7.513E+00 6.714E+00 
9.500E+01 7.214E+00 7.393E+00 
1.000E+02 6.943E+00 8.100E+00 
1.250E+02 5.897E+00 1.202E+01 
1.500E+02 5.185E+00 1.656E+01 
1.750E+02 4.669E+00 2.165E+01 
2.000E+02 4.278E+00 2.725E+01 
2.250E+02 3.971E+00 3.333E+01 
2.500E+02 3.724E+00 3.983E+01 
2.750E+02 3.521E+00 4.674E+01 
3.000E+02 3.352E+00 5.403E+01 
3.500E+02 3.086E+00 6.960E+01 
4.000E+02 2.887E+00 8.638E+01 
4.500E+02 2.733E+00 1.042E+02 
5.000E+02 2.612E+00 1.229E+02 
5.500E+02 2.513E+00 1.424E+02 
6.000E+02 2.433E+00 1.627E+02 
6.500E+02 2.366E+00 1.835E+02 
7.000E+02 2.309E+00 2.049E+02 
7.500E+02 2.260E+00 2.268E+02 
8.000E+02 2.218E+00 2.492E+02 
8.500E+02 2.181E+00 2.719E+02 
9.000E+02 2.149E+00 2.950E+02 
9.500E+02 2.121E+00 3.184E+02 
1.000E+03 2.096E+00 3.421E+02 
1.500E+03 1.958E+00 5.904E+02 
2.000E+03 1.909E+00 8.496E+02 
2.500E+03 1.892E+00 1.113E+03 
3.000E+03 1.889E+00 1.378E+03 
4.000E+03 1.901E+00 1.906E+03 
5.000E+03 1.920E+00 2.429E+03 
6.000E+03 1.940E+00 2.947E+03 
7.000E+03 1.960E+00 3.460E+03 
8.000E+03 1.979E+00 3.968E+03 
9.000E+03 1.997E+00 4.471E+03 
1.000E+04 2.014E+00 4.969E+03 
