PSTAR: Stopping Powers and Range Tables for Protons

POLYETHYLENE TEREPHTHALATE (MYLAR)                                      

Kinetic   Total     CSDA      
Energy    Stp. Pow. Range     
MeV       MeV cm2/g g/cm2     

1.000E-03 1.828E+02 6.920E-06 
1.500E-03 2.110E+02 9.443E-06 
2.000E-03 2.359E+02 1.168E-05 
2.500E-03 2.584E+02 1.371E-05 
3.000E-03 2.792E+02 1.557E-05 
4.000E-03 3.126E+02 1.894E-05 
5.000E-03 3.431E+02 2.199E-05 
6.000E-03 3.710E+02 2.479E-05 
7.000E-03 3.967E+02 2.740E-05 
8.000E-03 4.198E+02 2.985E-05 
9.000E-03 4.411E+02 3.217E-05 
1.000E-02 4.610E+02 3.439E-05 
1.250E-02 5.017E+02 3.958E-05 
1.500E-02 5.363E+02 4.439E-05 
1.750E-02 5.665E+02 4.892E-05 
2.000E-02 5.936E+02 5.323E-05 
2.250E-02 6.178E+02 5.736E-05 
2.500E-02 6.393E+02 6.134E-05 
2.750E-02 6.585E+02 6.519E-05 
3.000E-02 6.758E+02 6.893E-05 
3.500E-02 7.066E+02 7.617E-05 
4.000E-02 7.333E+02 8.311E-05 
4.500E-02 7.560E+02 8.982E-05 
5.000E-02 7.746E+02 9.635E-05 
5.500E-02 7.892E+02 1.027E-04 
6.000E-02 8.003E+02 1.090E-04 
6.500E-02 8.085E+02 1.152E-04 
7.000E-02 8.142E+02 1.214E-04 
7.500E-02 8.176E+02 1.275E-04 
8.000E-02 8.191E+02 1.336E-04 
8.500E-02 8.189E+02 1.397E-04 
9.000E-02 8.173E+02 1.459E-04 
9.500E-02 8.143E+02 1.520E-04 
1.000E-01 8.103E+02 1.581E-04 
1.250E-01 7.787E+02 1.896E-04 
1.500E-01 7.374E+02 2.225E-04 
1.750E-01 6.942E+02 2.575E-04 
2.000E-01 6.526E+02 2.946E-04 
2.250E-01 6.143E+02 3.341E-04 
2.500E-01 5.797E+02 3.760E-04 
2.750E-01 5.488E+02 4.204E-04 
3.000E-01 5.212E+02 4.671E-04 
3.500E-01 4.734E+02 5.679E-04 
4.000E-01 4.344E+02 6.783E-04 
4.500E-01 4.026E+02 7.980E-04 
5.000E-01 3.765E+02 9.265E-04 
5.500E-01 3.546E+02 1.063E-03 
6.000E-01 3.353E+02 1.209E-03 
6.500E-01 3.185E+02 1.362E-03 
7.000E-01 3.035E+02 1.522E-03 
7.500E-01 2.900E+02 1.691E-03 
8.000E-01 2.779E+02 1.867E-03 
8.500E-01 2.669E+02 2.051E-03 
9.000E-01 2.568E+02 2.242E-03 
9.500E-01 2.476E+02 2.440E-03 
1.000E+00 2.391E+02 2.646E-03 
1.250E+00 2.049E+02 3.779E-03 
1.500E+00 1.803E+02 5.083E-03 
1.750E+00 1.615E+02 6.551E-03 
2.000E+00 1.466E+02 8.178E-03 
2.250E+00 1.345E+02 9.960E-03 
2.500E+00 1.244E+02 1.189E-02 
2.750E+00 1.159E+02 1.398E-02 
3.000E+00 1.086E+02 1.621E-02 
3.500E+00 9.667E+01 2.110E-02 
4.000E+00 8.729E+01 2.655E-02 
4.500E+00 7.973E+01 3.255E-02 
5.000E+00 7.347E+01 3.909E-02 
5.500E+00 6.821E+01 4.615E-02 
6.000E+00 6.372E+01 5.374E-02 
6.500E+00 5.983E+01 6.185E-02 
7.000E+00 5.643E+01 7.046E-02 
7.500E+00 5.342E+01 7.957E-02 
8.000E+00 5.075E+01 8.917E-02 
8.500E+00 4.836E+01 9.927E-02 
9.000E+00 4.621E+01 1.098E-01 
9.500E+00 4.425E+01 1.209E-01 
1.000E+01 4.247E+01 1.324E-01 
1.250E+01 3.549E+01 1.971E-01 
1.500E+01 3.063E+01 2.732E-01 
1.750E+01 2.703E+01 3.603E-01 
2.000E+01 2.426E+01 4.581E-01 
2.500E+01 2.024E+01 6.848E-01 
2.750E+01 1.874E+01 8.133E-01 
3.000E+01 1.746E+01 9.516E-01 
3.500E+01 1.542E+01 1.257E+00 
4.000E+01 1.385E+01 1.600E+00 
4.500E+01 1.261E+01 1.979E+00 
5.000E+01 1.159E+01 2.393E+00 
5.500E+01 1.075E+01 2.841E+00 
6.000E+01 1.004E+01 3.322E+00 
6.500E+01 9.432E+00 3.837E+00 
7.000E+01 8.904E+00 4.382E+00 
7.500E+01 8.443E+00 4.959E+00 
8.000E+01 8.035E+00 5.567E+00 
8.500E+01 7.673E+00 6.204E+00 
9.000E+01 7.348E+00 6.870E+00 
9.500E+01 7.056E+00 7.564E+00 
1.000E+02 6.791E+00 8.287E+00 
1.250E+02 5.770E+00 1.230E+01 
1.500E+02 5.074E+00 1.693E+01 
1.750E+02 4.570E+00 2.214E+01 
2.000E+02 4.187E+00 2.786E+01 
2.250E+02 3.887E+00 3.406E+01 
2.500E+02 3.646E+00 4.071E+01 
2.750E+02 3.448E+00 4.777E+01 
3.000E+02 3.282E+00 5.520E+01 
3.500E+02 3.022E+00 7.111E+01 
4.000E+02 2.827E+00 8.824E+01 
4.500E+02 2.677E+00 1.064E+02 
5.000E+02 2.558E+00 1.255E+02 
5.500E+02 2.462E+00 1.455E+02 
6.000E+02 2.383E+00 1.661E+02 
6.500E+02 2.318E+00 1.874E+02 
7.000E+02 2.263E+00 2.092E+02 
7.500E+02 2.215E+00 2.316E+02 
8.000E+02 2.173E+00 2.544E+02 
8.500E+02 2.137E+00 2.776E+02 
9.000E+02 2.106E+00 3.012E+02 
9.500E+02 2.078E+00 3.251E+02 
1.000E+03 2.054E+00 3.493E+02 
1.500E+03 1.918E+00 6.027E+02 
2.000E+03 1.871E+00 8.672E+02 
2.500E+03 1.855E+00 1.136E+03 
3.000E+03 1.852E+00 1.406E+03 
4.000E+03 1.864E+00 1.944E+03 
5.000E+03 1.883E+00 2.478E+03 
6.000E+03 1.903E+00 3.007E+03 
7.000E+03 1.923E+00 3.529E+03 
8.000E+03 1.942E+00 4.047E+03 
9.000E+03 1.959E+00 4.559E+03 
1.000E+04 1.976E+00 5.068E+03 
