RCF Stack Report
Total thickness [cm],1.7807
Number of layers,27
Energy sweep [MeV],3.0 to 64.14999999999978 (1224 pts)
dx [cm],0.0001

Layer #,Material,Thickness [cm],Cumulative depth [cm],Min proton energy [MeV]
1,Al,0.01,0.01,3.0
2,pet_active,0.0008,0.0108,3.4
3,pet,0.0097,0.0205,3.5
4,Al,0.0508,0.0713,4.7
5,pet_active,0.0008,0.0721,10.4
6,pet,0.0097,0.0818,10.5
7,pc,0.05,0.1318,11.0
8,Al,0.0508,0.1826,13.5
9,pet_active,0.0008,0.1834,16.8
10,pet,0.0097,0.1931,16.8
11,Al,0.1016,0.2947,17.2
12,pet_active,0.0008,0.2955,22.6
13,pet,0.0097,0.3052,22.6
14,Al,0.2032,0.5084,22.9
15,pet_active,0.0008,0.5092,31.4
16,pet,0.0097,0.5189,31.4
17,pc,0.1,0.6189,31.7
18,Al,0.2032,0.8221,33.9
19,pet_active,0.0008,0.8229,40.5
20,pet,0.0097,0.8326,40.5
21,Al,0.2032,1.0358,40.7
22,pet_active,0.0008,1.0366,46.5
23,pet,0.0097,1.0463,46.5
24,Al,0.5207,1.567,46.7
25,pet_active,0.0008,1.5678,59.5
26,pet,0.0097,1.5775,59.6
27,Al,0.2032,1.7807,59.7
