RCF Stack Report
Total thickness [cm],1.6307
Number of layers,25
Energy sweep [MeV],3.0 to 62.0 (119 pts)
dx [cm],0.0001

Layer #,Material,Thickness [cm],Cumulative depth [cm],Min proton energy [MeV]
1,Al,0.01,0.01,3.0
2,pet_active,0.0008,0.0108,3.5
3,pet,0.0097,0.0205,4.0
4,Al,0.0508,0.0713,5.0
5,pet_active,0.0008,0.0721,10.5
6,pet,0.0097,0.0818,10.5
7,Al,0.0508,0.1326,11.5
8,pet_active,0.0008,0.1334,15.0
9,pet,0.0097,0.1431,15.0
10,Al,0.1016,0.2447,15.5
11,pet_active,0.0008,0.2455,21.5
12,pet,0.0097,0.2552,21.5
13,Al,0.2032,0.4584,21.5
14,pet_active,0.0008,0.4592,30.5
15,pet,0.0097,0.4689,30.5
16,Al,0.2032,0.6721,31.0
17,pet_active,0.0008,0.6729,38.0
18,pet,0.0097,0.6826,38.0
19,Al,0.2032,0.8858,38.0
20,pet_active,0.0008,0.8866,44.0
21,pet,0.0097,0.8963,44.0
22,Al,0.5207,1.417,44.5
23,pet_active,0.0008,1.4178,57.5
24,pet,0.0097,1.4275,57.5
25,Al,0.2032,1.6307,58.0
